anon_subj_idx,acc,rt,trial,epoch_number,epoch_trial,epoch_trial_run,reward_code,lambda,opt_choice_prob,id_choice,id_solution,LR_choice,LR_solution,change_point
1,1.0,0.5367281436920166,43,19.0,-3.0,-3.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5648829936981201,44,19.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.5638461112976074,45,19.0,-1.0,-1.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5805928707122802,46,20.0,0.0,0.0,0,10.0,0.65,102.0,102.0,76.0,76.0,1.0
1,1.0,0.5929369926452636,47,20.0,1.0,1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.5536959171295167,48,20.0,2.0,2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.6110658645629883,49,20.0,3.0,3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.6452078819274903,50,20.0,4.0,4.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.4918749332427979,51,20.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.5459949970245361,52,20.0,-2.0,-2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.606360912322998,53,20.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.555185079574585,54,21.0,0.0,0.0,0,10.0,0.65,109.0,109.0,82.0,82.0,1.0
1,0.0,0.5651218891143799,55,21.0,1.0,1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5202569961547852,56,21.0,2.0,2.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,0.0,0.5314569473266602,57,21.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5364689826965332,58,21.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5213820934295654,59,21.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
